numTreeFactor numTree numRows numAttr accuracy
3 200 400 2 0.591111111111 1
3 200 400 2 0.622222222222 1
3 200 400 2 0.582222222222 1
3 200 400 2 0.568888888889 1
3 200 400 2 0.626666666667 1
3 200 400 2 0.582222222222 1
3 200 400 2 0.613333333333 1
3 200 400 2 0.626666666667 1
3 600 400 2 0.555555555556 1
3 600 400 2 0.582222222222 1
3 600 400 2 0.595555555556 1
3 600 400 2 0.52 1
3 600 400 2 0.595555555556 1
3 600 400 2 0.591111111111 1
3 600 2087 2 0.852733686067 4
3 600 2087 2 0.847442680776 4
3 600 2087 2 0.83950617284 4
3 100 2087 2 0.851851851852 4
3 100 2087 2 0.856261022928 4
3 100 2087 2 0.855379188713 4
3 100 2087 2 0.857142857143 4
3 50 2087 2 0.850970017637 4
3 50 2087 2 0.856261022928 4
3 50 2087 2 0.859788359788 4
3 50 2087 2 0.857142857143 4
3 50 2087 2 0.853615520282 4
3 50 20870 2 0.858024691358 4
3 50 20870 2 0.858024691358 4
3 50 2087 4 0.855379188713 4
3 50 2087 4 0.857142857143 4
3 50 2087 4 0.833333333333 4
3 50 2087 4 0.856261022928 4
3 50 2087 10 0.850088183422 4
3 50 2087 10 0.846560846561 4
3 50 2087 10 0.862433862434 4
3 50 2087 10 0.853615520282 4
3 20 2087 10 0.847442680776 4
3 20 2087 10 0.861552028219 4
3 20 2087 10 0.850088183422 4
3 20 2087 10 0.850970017637 4
3 20 2087 10 0.861552028219 4
3 20 2087 10 0.851851851852 4
3 20 2087 10 0.848324514991 4
3 20 1460 2 0.849206349206 4
3 20 1460 2 0.854497354497 4
3 20 1460 2 0.858906525573 4
3 20 1460 2 0.835097001764 4
3 20 1460 2 0.853615520282 4
3 20 1460 2 0.847442680776 4
3 20 1460 2 0.857142857143 4
3 20 1460 2 0.850088183422 4
3 20 1460 2 0.847442680776 4
3 200 1460 2 0.858024691358 4
3 200 1460 2 0.8430335097 4
3 200 1460 2 0.840388007055 4
3 1000 1460 2 0.860670194004 4
3 1000 1460 2 0.858906525573 4
3 1000 1460 2 0.848324514991 4
3 2000 1460 2 0.855379188713 4
3 2000 1460 2 0.857142857143 4
3 2000 1460 2 0.855379188713 4
3 3000 1460 2 0.847442680776 4
3 4000 1460 2 0.831569664903 4
3 800 1460 2 0.83950617284 4
3 800 1460 2 0.852733686067 4
3 300 1460 2 0.856261022928 4
3 100 1460 2 0.843915343915 4
3 100 1460 2 0.853615520282 4
3 60 1460 2 0.856261022928 4
3 60 1460 2 0.838624338624 4
3 60 1460 2 0.853615520282 4
3 60 1460 2 0.855379188713 4
3 60 2087 2 0.852733686067 4
3 60 2087 2 0.849206349206 4
3 200 2087 2 0.858024691358 4
3 400 2087 2 0.850088183422 4
3 400 2087 2 0.850088183422 4
3 300 2087 2 0.856261022928 4
3 260 2087 2 0.860670194004 4
3 260 2087 2 0.829805996473 4
3 260 2087 2 0.853615520282 4
3 260 2087 2 0.859788359788 4
3 260 2087 2 0.854497354497 4
3 260 1460 2 0.854497354497 4
3 260 1043 2 0.828042328042 4
3 260 834 2 0.846560846561 4
3 260 834 2 0.838624338624 4
3 260 3130 2 0.857142857143 4
